domain,cc
uol.com.br,BR
mercadolivre.com.br,BR
otvfoco.com.br,BR
olx.com.br,BR
caixa.gov.br,BR
ebay-kleinanzeigen.de,DE
web.de,DE
spiegel.de,DE
bild.de,DE
chip.de,DE
ebay.co.uk,GB
bbc.co.uk,GB
dailymail.co.uk,GB
www.gov.uk,GB
rightmove.co.uk,GB
libero.it,IT
repubblica.it,IT
subito.it,IT
corriere.it,IT
mediaset.it,IT
marktplaats.nl,NL
nu.nl,NL
ing.nl,NL
nos.nl,NL
usenet.nl,NL
zoom.us,US
disq.us,US
donmai.us,US
band.us,US
espnfc.us,US
rakuten.co.jp,JP
ameblo.jp,JP
dmm.co.jp,JP
naver.jp,JP
blog.jp,JP
gumtree.co.za,ZA
fnb.co.za,ZA
ukzn.ac.za,ZA
up.ac.za,ZA
absa.co.za,ZA
mega.nz,NZ
mega.co.nz,NZ
trademe.co.nz,NZ
stuff.co.nz,NZ
cryptopia.co.nz,NZ
yandex.ru,RU
ok.ru,RU
avito.ru,RU
rambler.ru,RU
sberbank.ru,RU
