resolver_name,ip,alt_ip,dot_support
CleanBrowsing,185.228.168.168,185.228.169.168,True
Cloudflare 1.1.1.1,1.1.1.1,1.0.0.1,True
Comodo Secure DNS,8.26.56.26,8.20.247.20,False
CZ.NIC ODVR,217.31.204.130,193.29.206.206,False
Oracle + Dyn,216.146.35.35,216.146.36.36,False
DNS.WATCH,84.200.69.80,84.200.70.40,False
Google Public DNS,8.8.8.8,8.8.4.4,True
Neustar UltraRecursive,156.154.70.1,156.154.71.1,False
OpenDNS,208.67.222.222,208.67.220.220,False
OpenNIC,185.121.177.177,169.239.202.202,False
Quad9,9.9.9.9,149.112.112.112,True
SafeDNS,195.46.39.39,195.46.39.40,False
UncensoredDNS,91.239.100.100,89.233.43.71,True
VeriSign Public DNS,64.6.64.6,64.6.65.6,False
Yandex.DNS,77.88.8.1,77.88.8.8,False
